"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"WR","Antonio Brown",9500,"Pit@Cle 01:00PM ET",23.000,"Pit"
"RB","Le'Veon Bell",8800,"Pit@Cle 01:00PM ET",23.550,"Pit"
"WR","Odell Beckham Jr.",8500,"Chi@NYG 01:00PM ET",19.144,"NYG"
"WR","A.J. Green",8300,"Buf@Cin 01:00PM ET",22.044,"Cin"
"RB","DeMarco Murray",8200,"Ten@Ind 01:00PM ET",23.430,"Ten"
"WR","Mike Evans",8100,"TB@KC 01:00PM ET",21.789,"TB"
"RB","Ezekiel Elliott",8000,"Bal@Dal 01:00PM ET",24.167,"Dal"
"RB","David Johnson",7900,"Ari@Min 01:00PM ET",25.478,"Ari"
"QB","Tom Brady",7800,"NE@SF 04:25PM ET",25.900,"NE"
"WR","Jordy Nelson",7800,"GB@Was 08:30PM ET",18.500,"GB"
"WR","T.Y. Hilton",7700,"Ten@Ind 01:00PM ET",18.233,"Ind"
"QB","Aaron Rodgers",7600,"GB@Was 08:30PM ET",24.778,"GB"
"QB","Ben Roethlisberger",7500,"Pit@Cle 01:00PM ET",23.685,"Pit"
"WR","Allen Robinson",7400,"Jax@Det 01:00PM ET",15.322,"Jax"
"WR","Dez Bryant",7200,"Bal@Dal 01:00PM ET",14.800,"Dal"
"QB","Andrew Luck",7200,"Ten@Ind 01:00PM ET",22.556,"Ind"
"WR","Larry Fitzgerald",7100,"Ari@Min 01:00PM ET",18.900,"Ari"
"TE","Rob Gronkowski",7100,"NE@SF 04:25PM ET",15.143,"NE"
"WR","Stefon Diggs",7000,"Ari@Min 01:00PM ET",19.250,"Min"
"RB","LeSean McCoy",6900,"Buf@Cin 01:00PM ET",19.563,"Buf"
"WR","Alshon Jeffery",6900,"Chi@NYG 01:00PM ET",12.444,"Chi"
"RB","Jay Ajayi",6800,"Mia@LA 04:05PM ET",16.925,"Mia"
"QB","Marcus Mariota",6700,"Ten@Ind 01:00PM ET",20.978,"Ten"
"WR","Davante Adams",6700,"GB@Was 08:30PM ET",17.011,"GB"
"QB","Matthew Stafford",6600,"Jax@Det 01:00PM ET",20.169,"Det"
"WR","Jarvis Landry",6600,"Mia@LA 04:05PM ET",15.067,"Mia"
"RB","LeGarrette Blount",6400,"NE@SF 04:25PM ET",17.433,"NE"
"QB","Eli Manning",6300,"Chi@NYG 01:00PM ET",17.304,"NYG"
"WR","Julian Edelman",6300,"NE@SF 04:25PM ET",11.289,"NE"
"WR","Donte Moncrief",6100,"Ten@Ind 01:00PM ET",12.200,"Ind"
"QB","Russell Wilson",6100,"Phi@Sea 04:25PM ET",17.064,"Sea"
"QB","Dak Prescott",6000,"Bal@Dal 01:00PM ET",20.451,"Dal"
"WR","Steve Smith Sr.",6000,"Bal@Dal 01:00PM ET",13.529,"Bal"
"RB","Spencer Ware",6000,"TB@KC 01:00PM ET",16.325,"KC"
"RB","DeAngelo Williams",5900,"Pit@Cle 01:00PM ET",9.838,"Pit"
"QB","Jameis Winston",5900,"TB@KC 01:00PM ET",20.062,"TB"
"WR","Randall Cobb",5900,"GB@Was 08:30PM ET",14.075,"GB"
"TE","Jordan Reed",5900,"GB@Was 08:30PM ET",15.371,"Was"
"RB","Jordan Howard",5800,"Chi@NYG 01:00PM ET",15.650,"Chi"
"QB","Kirk Cousins",5800,"GB@Was 08:30PM ET",19.882,"Was"
"TE","Delanie Walker",5700,"Ten@Ind 01:00PM ET",14.711,"Ten"
"QB","Andy Dalton",5700,"Buf@Cin 01:00PM ET",19.002,"Cin"
"WR","Doug Baldwin",5700,"Phi@Sea 04:25PM ET",16.167,"Sea"
"WR","Terrelle Pryor Sr.",5600,"Pit@Cle 01:00PM ET",15.544,"Cle"
"QB","Tyrod Taylor",5600,"Buf@Cin 01:00PM ET",18.996,"Buf"
"WR","Jeremy Maclin",5600,"TB@KC 01:00PM ET",9.938,"KC"
"QB","Carson Palmer",5600,"Ari@Min 01:00PM ET",18.145,"Ari"
"TE","Jimmy Graham",5600,"Phi@Sea 04:25PM ET",14.144,"Sea"
"QB","Joe Flacco",5500,"Bal@Dal 01:00PM ET",16.362,"Bal"
"QB","Tony Romo",5500,"Bal@Dal 01:00PM ET",0.000,"Dal"
"WR","Mike Wallace",5500,"Bal@Dal 01:00PM ET",16.022,"Bal"
"QB","Blake Bortles",5400,"Jax@Det 01:00PM ET",20.760,"Jax"
"TE","Tyler Eifert",5400,"Buf@Cin 01:00PM ET",14.233,"Cin"
"RB","Doug Martin",5400,"TB@KC 01:00PM ET",9.500,"TB"
"WR","Jordan Matthews",5400,"Phi@Sea 04:25PM ET",14.111,"Phi"
"WR","Jamison Crowder",5400,"GB@Was 08:30PM ET",15.478,"Was"
"WR","Cole Beasley",5300,"Bal@Dal 01:00PM ET",13.989,"Dal"
"WR","Golden Tate",5300,"Jax@Det 01:00PM ET",13.078,"Det"
"RB","Derrick Henry",5300,"Ten@Ind 01:00PM ET",5.090,"Ten"
"QB","Alex Smith",5300,"TB@KC 01:00PM ET",14.380,"KC"
"RB","Jacquizz Rodgers",5200,"TB@KC 01:00PM ET",11.017,"TB"
"QB","Jay Cutler",5200,"Chi@NYG 01:00PM ET",10.095,"Chi"
"WR","Kenny Britt",5200,"Mia@LA 04:05PM ET",15.144,"LA"
"QB","Colin Kaepernick",5200,"NE@SF 04:25PM ET",17.064,"SF"
"RB","Theo Riddick",5100,"Jax@Det 01:00PM ET",17.429,"Det"
"WR","Rishard Matthews",5100,"Ten@Ind 01:00PM ET",12.030,"Ten"
"QB","Sam Bradford",5100,"Ari@Min 01:00PM ET",15.648,"Min"
"QB","Ryan Tannehill",5100,"Mia@LA 04:05PM ET",15.420,"Mia"
"RB","Christine Michael",5100,"Phi@Sea 04:25PM ET",13.389,"Sea"
"WR","Ty Montgomery",5100,"GB@Was 08:30PM ET",7.263,"GB"
"QB","Josh McCown",5000,"Pit@Cle 01:00PM ET",13.800,"Cle"
"QB","Landry Jones",5000,"Pit@Cle 01:00PM ET",2.788,"Pit"
"QB","Zach Mettenberger",5000,"Pit@Cle 01:00PM ET",0.000,"Pit"
"QB","Cody Kessler",5000,"Pit@Cle 01:00PM ET",11.177,"Cle"
"QB","Kevin Hogan",5000,"Pit@Cle 01:00PM ET",7.220,"Cle"
"QB","Joe Callahan",5000,"Pit@Cle 01:00PM ET",0,"Cle"
"QB","Mark Sanchez",5000,"Bal@Dal 01:00PM ET",0.060,"Dal"
"QB","Ryan Mallett",5000,"Bal@Dal 01:00PM ET",0.030,"Bal"
"QB","Dan Orlovsky",5000,"Jax@Det 01:00PM ET",0,"Det"
"QB","Chad Henne",5000,"Jax@Det 01:00PM ET",0,"Jax"
"QB","Brandon Allen",5000,"Jax@Det 01:00PM ET",0,"Jax"
"WR","Marvin Jones Jr.",5000,"Jax@Det 01:00PM ET",14.822,"Det"
"QB","Matt Cassel",5000,"Ten@Ind 01:00PM ET",0.167,"Ten"
"QB","Scott Tolzien",5000,"Ten@Ind 01:00PM ET",0,"Ind"
"RB","Frank Gore",5000,"Ten@Ind 01:00PM ET",15.689,"Ind"
"QB","EJ Manuel",5000,"Buf@Cin 01:00PM ET",1.275,"Buf"
"QB","AJ McCarron",5000,"Buf@Cin 01:00PM ET",0.000,"Cin"
"QB","Jeff Driskel",5000,"Buf@Cin 01:00PM ET",0,"Cin"
"QB","Cardale Jones",5000,"Buf@Cin 01:00PM ET",0,"Buf"
"QB","Nick Foles",5000,"TB@KC 01:00PM ET",14.000,"KC"
"QB","Mike Glennon",5000,"TB@KC 01:00PM ET",4.500,"TB"
"QB","Ryan Griffin",5000,"TB@KC 01:00PM ET",0,"TB"
"QB","Tyler Bray",5000,"TB@KC 01:00PM ET",0,"KC"
"RB","Charcandrick West",5000,"TB@KC 01:00PM ET",5.725,"KC"
"QB","Josh Johnson",5000,"Chi@NYG 01:00PM ET",0,"NYG"
"QB","Ryan Nassib",5000,"Chi@NYG 01:00PM ET",0,"NYG"
"QB","Matt Barkley",5000,"Chi@NYG 01:00PM ET",1.140,"Chi"
"QB","Shaun Hill",5000,"Ari@Min 01:00PM ET",5.120,"Min"
"QB","Drew Stanton",5000,"Ari@Min 01:00PM ET",3.265,"Ari"
"QB","Taylor Heinicke",5000,"Ari@Min 01:00PM ET",0.000,"Min"
"QB","Matt Moore",5000,"Mia@LA 04:05PM ET",0.000,"Mia"
"QB","Case Keenum",5000,"Mia@LA 04:05PM ET",13.873,"LA"
"QB","Sean Mannion",5000,"Mia@LA 04:05PM ET",0,"LA"
"QB","Jared Goff",5000,"Mia@LA 04:05PM ET",0.000,"LA"
"RB","Todd Gurley",5000,"Mia@LA 04:05PM ET",12.744,"LA"
"QB","Christian Ponder",5000,"NE@SF 04:25PM ET",0,"SF"
"QB","Blaine Gabbert",5000,"NE@SF 04:25PM ET",15.640,"SF"
"QB","Jimmy Garoppolo",5000,"NE@SF 04:25PM ET",9.235,"NE"
"QB","Chase Daniel",5000,"Phi@Sea 04:25PM ET",0.000,"Phi"
"QB","Trevone Boykin",5000,"Phi@Sea 04:25PM ET",2.700,"Sea"
"QB","Carson Wentz",5000,"Phi@Sea 04:25PM ET",14.049,"Phi"
"QB","Colt McCoy",5000,"GB@Was 08:30PM ET",0.000,"Was"
"QB","Brett Hundley",5000,"GB@Was 08:30PM ET",0.320,"GB"
"QB","Nate Sudfeld",5000,"GB@Was 08:30PM ET",0.000,"Was"
"WR","Robert Woods",4900,"Buf@Cin 01:00PM ET",11.725,"Buf"
"RB","Carlos Hyde",4900,"NE@SF 04:25PM ET",14.843,"SF"
"RB","James White",4800,"NE@SF 04:25PM ET",10.133,"NE"
"WR","DeSean Jackson",4800,"GB@Was 08:30PM ET",8.956,"Was"
"WR","Corey Coleman",4700,"Pit@Cle 01:00PM ET",12.775,"Cle"
"RB","Alfred Morris",4700,"Bal@Dal 01:00PM ET",3.922,"Dal"
"TE","Travis Kelce",4700,"TB@KC 01:00PM ET",12.400,"KC"
"WR","Sterling Shepard",4700,"Chi@NYG 01:00PM ET",12.067,"NYG"
"WR","J.J. Nelson",4700,"Ari@Min 01:00PM ET",6.875,"Ari"
"WR","Chris Hogan",4700,"NE@SF 04:25PM ET",8.033,"NE"
"RB","Giovani Bernard",4600,"Buf@Cin 01:00PM ET",12.800,"Cin"
"WR","Tyreek Hill",4500,"TB@KC 01:00PM ET",10.444,"KC"
"RB","Darren Sproles",4500,"Phi@Sea 04:25PM ET",11.356,"Phi"
"RB","Terrance West",4400,"Bal@Dal 01:00PM ET",10.189,"Bal"
"RB","Jeremy Hill",4400,"Buf@Cin 01:00PM ET",12.022,"Cin"
"RB","Rob Kelley",4400,"GB@Was 08:30PM ET",5.325,"Was"
"WR","Eli Rogers",4300,"Pit@Cle 01:00PM ET",11.000,"Pit"
"RB","Thomas Rawls",4300,"Phi@Sea 04:25PM ET",6.300,"Sea"
"WR","Kendall Wright",4200,"Ten@Ind 01:00PM ET",10.843,"Ten"
"RB","Ryan Mathews",4200,"Phi@Sea 04:25PM ET",12.333,"Phi"
"RB","C.J. Prosise",4200,"Phi@Sea 04:25PM ET",8.980,"Sea"
"RB","James Starks",4200,"GB@Was 08:30PM ET",5.720,"GB"
"WR","Allen Hurns",4100,"Jax@Det 01:00PM ET",10.067,"Jax"
"TE","Eric Ebron",4100,"Jax@Det 01:00PM ET",12.683,"Det"
"RB","Mike Gillislee",4100,"Buf@Cin 01:00PM ET",7.489,"Buf"
"WR","Cameron Meredith",4100,"Chi@NYG 01:00PM ET",11.957,"Chi"
"WR","John Brown",4100,"Ari@Min 01:00PM ET",9.750,"Ari"
"WR","DeVante Parker",4100,"Mia@LA 04:05PM ET",10.325,"Mia"
"WR","Marqise Lee",4000,"Jax@Det 01:00PM ET",10.100,"Jax"
"WR","Brandon LaFell",4000,"Buf@Cin 01:00PM ET",10.167,"Cin"
"RB","Jeremy Langford",4000,"Chi@NYG 01:00PM ET",7.800,"Chi"
"WR","Michael Floyd",4000,"Ari@Min 01:00PM ET",8.978,"Ari"
"RB","Benny Cunningham",4000,"Mia@LA 04:05PM ET",3.963,"LA"
"RB","DuJuan Harris",4000,"NE@SF 04:25PM ET",11.100,"SF"
"RB","Isaiah Crowell",3900,"Pit@Cle 01:00PM ET",13.550,"Cle"
"WR","Sammie Coates",3900,"Pit@Cle 01:00PM ET",8.667,"Pit"
"RB","Kenneth Dixon",3900,"Bal@Dal 01:00PM ET",4.180,"Bal"
"RB","Peyton Barber",3900,"TB@KC 01:00PM ET",3.550,"TB"
"WR","Russell Shepard",3900,"TB@KC 01:00PM ET",5.029,"TB"
"WR","Adam Humphries",3900,"TB@KC 01:00PM ET",9.533,"TB"
"RB","Ka'Deem Carey",3900,"Chi@NYG 01:00PM ET",2.743,"Chi"
"RB","Paul Perkins",3900,"Chi@NYG 01:00PM ET",4.457,"NYG"
"TE","Kyle Rudolph",3900,"Ari@Min 01:00PM ET",11.800,"Min"
"RB","Damien Williams",3900,"Mia@LA 04:05PM ET",8.375,"Mia"
"WR","Tavon Austin",3900,"Mia@LA 04:05PM ET",10.200,"LA"
"WR","Pierre Garcon",3900,"GB@Was 08:30PM ET",10.633,"Was"
"RB","Duke Johnson Jr.",3800,"Pit@Cle 01:00PM ET",10.250,"Cle"
"WR","Anquan Boldin",3800,"Jax@Det 01:00PM ET",10.400,"Det"
"TE","Cameron Brate",3800,"TB@KC 01:00PM ET",11.389,"TB"
"TE","Zach Miller",3800,"Chi@NYG 01:00PM ET",11.611,"Chi"
"RB","Matt Asiata",3800,"Ari@Min 01:00PM ET",8.333,"Min"
"WR","Adam Thielen",3800,"Ari@Min 01:00PM ET",10.378,"Min"
"DST","Seahawks ",3800,"Phi@Sea 04:25PM ET",8.667,"Sea"
"DST","Steelers ",3700,"Pit@Cle 01:00PM ET",4.000,"Pit"
"WR","Victor Cruz",3700,"Chi@NYG 01:00PM ET",8.463,"NYG"
"TE","Martellus Bennett",3700,"NE@SF 04:25PM ET",13.556,"NE"
"RB","Wendell Smallwood",3700,"Phi@Sea 04:25PM ET",3.767,"Phi"
"TE","Dennis Pitta",3600,"Bal@Dal 01:00PM ET",9.611,"Bal"
"RB","Chris Ivory",3600,"Jax@Det 01:00PM ET",6.686,"Jax"
"RB","Rashad Jennings",3600,"Chi@NYG 01:00PM ET",9.333,"NYG"
"WR","Kenny Stills",3600,"Mia@LA 04:05PM ET",9.278,"Mia"
"DST","Patriots ",3600,"NE@SF 04:25PM ET",6.222,"NE"
"WR","Tyler Lockett",3600,"Phi@Sea 04:25PM ET",5.678,"Sea"
"RB","Chris Thompson",3600,"GB@Was 08:30PM ET",9.600,"Was"
"RB","T.J. Yeldon",3500,"Jax@Det 01:00PM ET",10.178,"Jax"
"RB","Dwayne Washington",3500,"Jax@Det 01:00PM ET",3.740,"Det"
"TE","Julius Thomas",3500,"Jax@Det 01:00PM ET",9.738,"Jax"
"WR","Marquise Goodwin",3500,"Buf@Cin 01:00PM ET",8.388,"Buf"
"RB","Knile Davis",3500,"TB@KC 01:00PM ET",1.100,"KC"
"DST","Giants ",3500,"Chi@NYG 01:00PM ET",6.556,"NYG"
"RB","Andre Ellington",3500,"Ari@Min 01:00PM ET",1.544,"Ari"
"RB","Jerick McKinnon",3500,"Ari@Min 01:00PM ET",5.963,"Min"
"WR","Cordarrelle Patterson",3500,"Ari@Min 01:00PM ET",7.678,"Min"
"WR","Danny Amendola",3500,"NE@SF 04:25PM ET",6.033,"NE"
"WR","Jeremy Kerley",3500,"NE@SF 04:25PM ET",11.378,"SF"
"RB","Matt Jones",3500,"GB@Was 08:30PM ET",10.413,"Was"
"TE","Jesse James",3400,"Pit@Cle 01:00PM ET",7.678,"Pit"
"WR","Breshad Perriman",3400,"Bal@Dal 01:00PM ET",6.022,"Bal"
"RB","Robert Turbin",3400,"Ten@Ind 01:00PM ET",5.075,"Ind"
"WR","Albert Wilson",3400,"TB@KC 01:00PM ET",4.511,"KC"
"DST","Chiefs ",3400,"TB@KC 01:00PM ET",10.778,"KC"
"WR","Eddie Royal",3400,"Chi@NYG 01:00PM ET",12.457,"Chi"
"WR","Brian Quick",3400,"Mia@LA 04:05PM ET",9.567,"LA"
"WR","Torrey Smith",3400,"NE@SF 04:25PM ET",5.922,"SF"
"WR","Kamar Aiken",3300,"Bal@Dal 01:00PM ET",3.678,"Bal"
"WR","Terrance Williams",3300,"Bal@Dal 01:00PM ET",7.333,"Dal"
"TE","Jason Witten",3300,"Bal@Dal 01:00PM ET",11.922,"Dal"
"WR","Phillip Dorsett",3300,"Ten@Ind 01:00PM ET",7.213,"Ind"
"TE","Jack Doyle",3300,"Ten@Ind 01:00PM ET",10.878,"Ind"
"WR","Percy Harvin",3300,"Buf@Cin 01:00PM ET",0.000,"Buf"
"WR","Chris Conley",3300,"TB@KC 01:00PM ET",6.622,"KC"
"WR","Roger Lewis",3300,"Chi@NYG 01:00PM ET",3.717,"NYG"
